,,,Xxchdamxx,ObstacleTitan99,dragonixr,NelikkTtv,JackyTunnaing,NeliKkTv,Bloodyraiis
stats,minecraft:crafted,sophisticatedbackpacks:diamond_backpack,3.0,0.0,0.0,0.0,1.0,0.0,0.0
stats,minecraft:crafted,sophisticatedbackpacks:gold_backpack,3.0,0.0,1.0,0.0,1.0,0.0,0.0
stats,minecraft:crafted,sophisticatedbackpacks:iron_backpack,3.0,0.0,1.0,0.0,1.0,0.0,0.0
stats,minecraft:crafted,sophisticatedstorage:chest,37.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:crafted,sophisticatedstorage:gold_chest,27.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:crafted,sophisticatedstorage:iron_chest,28.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:crafted,stoneworks:andesite_tiles,0.0,0.0,0.0,0.0,1.0,0.0,0.0
stats,minecraft:crafted,stoneworks:stone_pillar,0.0,0.0,0.0,0.0,2.0,0.0,0.0
stats,minecraft:crafted,stoneworks:stone_plates,0.0,0.0,0.0,0.0,1.0,0.0,0.0
stats,minecraft:crafted,stoneworks:stone_tile_wall,0.0,0.0,0.0,0.0,5.0,0.0,0.0
stats,minecraft:crafted,stoneworks:stone_tiles,0.0,0.0,0.0,0.0,1.0,0.0,0.0
stats,minecraft:crafted,toms_storage:crafting_terminal,1.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:crafted,toms_storage:inventory_connector,1.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:crafted,toms_storage:storage_terminal,1.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:crafted,toms_storage:trim,12.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:custom,constructionwand:use_wand,5524.0,0.0,0.0,0.0,0.0,56.0,1302.0
stats,minecraft:custom,lootr:looted_stat,506.0,115.0,193.0,1.0,109.0,27.0,180.0
stats,minecraft:custom,minecraft:battle_won,0.0,0.0,0.0,0.0,0.0,0.0,1.0
stats,minecraft:custom,minecraft:bell_ring,0.0,5.0,0.0,0.0,2.0,0.0,56.0
stats,minecraft:custom,minecraft:climb_one_cm,32526.0,12408.0,32329.0,0.0,8394.0,2121.0,22212.0
stats,minecraft:custom,minecraft:crouch_one_cm,87180.0,2086.0,19663.0,254.0,46800.0,23603.0,21049.0
stats,minecraft:custom,minecraft:damage_absorbed,0.0,10.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:custom,minecraft:damage_dealt,8062.0,136.0,1070.0,367.0,68.0,1217.0,326.0
stats,minecraft:custom,minecraft:damage_resisted,0.0,4.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:custom,minecraft:damage_taken,8659.0,507.0,2479.0,1990.0,1973.0,1240.0,3847.0
stats,minecraft:custom,minecraft:deaths,9.0,0.0,1.0,1.0,3.0,5.0,6.0
stats,minecraft:custom,minecraft:drop,338.0,31.0,29.0,11.0,86.0,84.0,105.0
stats,minecraft:custom,minecraft:enchant_item,18.0,0.0,0.0,0.0,0.0,1.0,6.0
stats,minecraft:custom,minecraft:fall_one_cm,105052.0,1893.0,35422.0,20132.0,34397.0,11880.0,23416.0
stats,minecraft:custom,minecraft:fish_caught,0.0,0.0,0.0,0.0,0.0,0.0,14.0
stats,minecraft:custom,minecraft:fly_one_cm,6062725.0,896713.0,1010106.0,2846.0,1057713.0,5346700.0,3203007.0
stats,minecraft:custom,minecraft:horse_one_cm,298.0,6651.0,9881.0,19702.0,15851.0,107476.0,95489.0
stats,minecraft:custom,minecraft:inspect_hopper,11.0,0.0,0.0,0.0,1.0,11.0,0.0
stats,minecraft:custom,minecraft:interact_with_anvil,13.0,0.0,0.0,0.0,3.0,0.0,9.0
stats,minecraft:custom,minecraft:interact_with_blast_furnace,24.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:custom,minecraft:interact_with_brewingstand,0.0,0.0,0.0,0.0,0.0,0.0,1.0
stats,minecraft:custom,minecraft:interact_with_cartography_table,0.0,0.0,0.0,0.0,1.0,0.0,1.0
stats,minecraft:custom,minecraft:interact_with_crafting_table,77.0,0.0,10.0,1.0,22.0,0.0,67.0
stats,minecraft:custom,minecraft:interact_with_furnace,60.0,0.0,1.0,0.0,39.0,0.0,65.0
stats,minecraft:custom,minecraft:interact_with_grindstone,5.0,0.0,0.0,0.0,0.0,1.0,0.0
stats,minecraft:custom,minecraft:interact_with_lectern,1.0,2.0,1.0,0.0,2.0,0.0,0.0
stats,minecraft:custom,minecraft:interact_with_loom,0.0,0.0,0.0,0.0,2.0,0.0,1.0
stats,minecraft:custom,minecraft:interact_with_smoker,3.0,1.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:custom,minecraft:interact_with_stonecutter,1.0,0.0,0.0,0.0,25.0,0.0,7.0
stats,minecraft:custom,minecraft:jump,7191.0,1344.0,4739.0,225.0,2653.0,3012.0,2880.0
stats,minecraft:custom,minecraft:leave_game,22.0,3.0,8.0,2.0,8.0,24.0,10.0
stats,minecraft:custom,minecraft:mob_kills,126.0,2.0,6.0,0.0,1.0,5.0,1.0
stats,minecraft:custom,minecraft:open_barrel,9.0,2.0,0.0,0.0,5.0,1.0,8.0
stats,minecraft:custom,minecraft:open_chest,142.0,0.0,0.0,0.0,84.0,164.0,581.0
stats,minecraft:custom,minecraft:open_enderchest,2.0,0.0,1.0,4.0,0.0,4.0,0.0
stats,minecraft:custom,minecraft:play_noteblock,1.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:custom,minecraft:play_time,1402395.0,155868.0,348479.0,73133.0,706773.0,1220638.0,818497.0
stats,minecraft:custom,minecraft:player_kills,1.0,0.0,1.0,0.0,0.0,0.0,0.0
stats,minecraft:custom,minecraft:pokemon_caught,74.0,9.0,23.0,3.0,3.0,114.0,45.0
stats,minecraft:custom,minecraft:pokemon_registered,85.0,11.0,28.0,6.0,7.0,101.0,51.0
stats,minecraft:custom,minecraft:shiny_pokemon_caught,42.0,3.0,0.0,0.0,0.0,64.0,14.0
stats,minecraft:custom,minecraft:sleep_in_bed,2.0,0.0,0.0,0.0,0.0,0.0,1.0
stats,minecraft:custom,minecraft:sneak_time,30641.0,3144.0,9455.0,1002.0,22939.0,14507.0,12694.0
stats,minecraft:custom,minecraft:sprint_one_cm,2112084.0,313777.0,609168.0,1459.0,340976.0,414122.0,919652.0
stats,minecraft:custom,minecraft:swim_one_cm,113798.0,9306.0,51004.0,0.0,224.0,6225.0,23296.0
stats,minecraft:custom,minecraft:talked_to_villager,58.0,12.0,0.0,0.0,18.0,324.0,4.0
stats,minecraft:custom,minecraft:time_since_death,212895.0,155868.0,66030.0,51966.0,371414.0,383112.0,563527.0
stats,minecraft:custom,minecraft:time_since_rest,212958.0,155868.0,66096.0,52025.0,371865.0,383141.0,85861.0
stats,minecraft:custom,minecraft:total_world_time,1402395.0,155868.0,348479.0,73133.0,706773.0,1220638.0,818497.0
stats,minecraft:custom,minecraft:traded_with_villager,105.0,1.0,9.0,0.0,0.0,3.0,14.0
stats,minecraft:custom,minecraft:tune_noteblock,2.0,4.0,0.0,0.0,3.0,0.0,0.0
stats,minecraft:custom,minecraft:walk_on_water_one_cm,54410.0,8072.0,38394.0,0.0,45533.0,8584.0,93905.0
stats,minecraft:custom,minecraft:walk_one_cm,3701603.0,185838.0,420332.0,209544.0,1806003.0,1070631.0,2656745.0
stats,minecraft:custom,minecraft:walk_under_water_one_cm,62818.0,1431.0,22256.0,0.0,27699.0,31323.0,57921.0
stats,minecraft:custom,minecraft:waystone_activated,15.0,4.0,8.0,0.0,6.0,6.0,8.0
stats,minecraft:dropped,academy:booster_pack,1.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:dropped,academy:card_album,1.0,0.0,0.0,0.0,0.0,1.0,0.0
stats,minecraft:dropped,academy:roasted_haban_berry,0.0,0.0,0.0,0.0,0.0,12.0,0.0
stats,minecraft:dropped,academy:shiny_fossil,8.0,0.0,0.0,0.0,0.0,36.0,0.0
stats,minecraft:dropped,arts_and_crafts:bleachdew_paintbrush,0.0,1.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:dropped,arts_and_crafts:soapstone,0.0,0.0,0.0,0.0,0.0,0.0,54.0
stats,minecraft:dropped,biomeswevegone:ebony_fence,0.0,0.0,0.0,0.0,1.0,0.0,0.0
stats,minecraft:dropped,cloudboots:iron_cloud_boots,1.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:dropped,cloudboots:netherite_cloud_boots,2.0,0.0,0.0,0.0,0.0,0.0,1.0
stats,minecraft:dropped,cobblemon:dome_fossil,1.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:dropped,cobblemon:dusk_stone,1.0,0.0,0.0,0.0,0.0,0.0,1.0
stats,minecraft:dropped,cobblemon:fossil_analyzer,1.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:dropped,cobblemon:hard_stone,1.0,0.0,0.0,0.0,0.0,0.0,1.0
stats,minecraft:dropped,cobblemon:helix_fossil,1.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:dropped,cobblemon:link_cable,0.0,0.0,0.0,0.0,0.0,0.0,1.0
stats,minecraft:dropped,cobblemon:master_ball,4.0,0.0,0.0,0.0,0.0,2.0,0.0
stats,minecraft:dropped,cobblemon:max_revive,152.0,0.0,0.0,0.0,0.0,586.0,0.0
stats,minecraft:dropped,cobblemon:monitor,2.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:dropped,cobblemon:old_amber_fossil,1.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:dropped,cobblemon:poke_ball,192.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:dropped,cobblemon:pokedex_red,0.0,1.0,0.0,0.0,0.0,3.0,0.0
stats,minecraft:dropped,cobblemon:red_apricorn_seed,0.0,0.0,0.0,0.0,0.0,1.0,0.0
stats,minecraft:dropped,cobblemon:remedy,0.0,0.0,3.0,0.0,0.0,0.0,0.0
stats,minecraft:dropped,cobblemon:restoration_tank,1.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:dropped,cobblemon:verdant_ball,1.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:dropped,cobblemon:wepear_berry,0.0,0.0,3.0,0.0,0.0,0.0,0.0
stats,minecraft:dropped,cobbreeding:pokemon_egg,0.0,0.0,0.0,0.0,0.0,1.0,0.0
stats,minecraft:dropped,constructionwand:core_destruction,1.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:dropped,constructionwand:infinity_wand,3.0,0.0,0.0,0.0,0.0,0.0,1.0
stats,minecraft:dropped,glassential:glass_glowstone_lamp_tinted,0.0,0.0,0.0,0.0,0.0,1.0,0.0
stats,minecraft:dropped,gliding:wooden_glider,0.0,1.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:dropped,justhammers:iron_hammer,0.0,0.0,0.0,0.0,0.0,0.0,1.0
stats,minecraft:dropped,knowlogy:knowlogy_book,0.0,0.0,1.0,0.0,0.0,0.0,0.0
stats,minecraft:dropped,minecraft:amethyst_block,3.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:dropped,minecraft:andesite,1133.0,0.0,0.0,0.0,243.0,0.0,2.0
stats,minecraft:dropped,minecraft:arrow,11.0,8.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:dropped,minecraft:azalea,0.0,0.0,0.0,0.0,3.0,0.0,0.0
stats,minecraft:dropped,minecraft:barrier,1.0,0.0,0.0,0.0,1.0,0.0,0.0
stats,minecraft:dropped,minecraft:bedrock,0.0,0.0,0.0,0.0,0.0,1.0,0.0
stats,minecraft:dropped,minecraft:beef,0.0,1.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:dropped,minecraft:birch_sapling,20.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:dropped,minecraft:bone_meal,0.0,0.0,0.0,0.0,0.0,3.0,1.0
stats,minecraft:dropped,minecraft:brick,0.0,0.0,4.0,0.0,0.0,0.0,0.0
stats,minecraft:dropped,minecraft:brown_carpet,0.0,0.0,4.0,0.0,0.0,0.0,0.0
stats,minecraft:dropped,minecraft:carrot,12.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:dropped,minecraft:chainmail_boots,1.0,0.0,1.0,0.0,0.0,0.0,0.0
stats,minecraft:dropped,minecraft:chainmail_chestplate,0.0,0.0,1.0,0.0,0.0,0.0,0.0
stats,minecraft:dropped,minecraft:clay,2.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:dropped,minecraft:clay_ball,4.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:dropped,minecraft:coal,0.0,0.0,0.0,0.0,15.0,0.0,0.0
stats,minecraft:dropped,minecraft:cobbled_deepslate,2092.0,0.0,0.0,0.0,6.0,0.0,20.0
stats,minecraft:dropped,minecraft:cobblestone,435.0,0.0,0.0,0.0,58.0,0.0,808.0
stats,minecraft:dropped,minecraft:cobblestone_wall,0.0,0.0,0.0,0.0,1.0,0.0,0.0
stats,minecraft:dropped,minecraft:command_block,0.0,0.0,0.0,0.0,0.0,1.0,0.0
stats,minecraft:dropped,minecraft:composter,1.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:dropped,minecraft:cooked_beef,4.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:dropped,minecraft:cooked_mutton,8.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:dropped,minecraft:cracked_stone_bricks,0.0,0.0,0.0,0.0,14.0,0.0,0.0
stats,minecraft:dropped,minecraft:crossbow,0.0,1.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:dropped,minecraft:dandelion,0.0,0.0,0.0,0.0,1.0,0.0,0.0
stats,minecraft:dropped,minecraft:dark_oak_fence,0.0,0.0,0.0,0.0,1.0,0.0,0.0
stats,minecraft:dropped,minecraft:dark_oak_slab,0.0,0.0,0.0,0.0,6.0,0.0,0.0
stats,minecraft:dropped,minecraft:debug_stick,1.0,0.0,0.0,0.0,1.0,0.0,0.0
stats,minecraft:dropped,minecraft:deepslate,5.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:dropped,minecraft:deepslate_brick_slab,0.0,0.0,0.0,0.0,1.0,0.0,0.0
stats,minecraft:dropped,minecraft:deepslate_brick_stairs,0.0,0.0,0.0,0.0,1.0,0.0,0.0
stats,minecraft:dropped,minecraft:deepslate_gold_ore,6.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:dropped,minecraft:deepslate_tiles,1.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:dropped,minecraft:diamond,8.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:dropped,minecraft:diamond_pickaxe,2.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:dropped,minecraft:dirt,1071.0,0.0,2.0,0.0,85.0,1.0,156.0
stats,minecraft:dropped,minecraft:dripstone_block,0.0,0.0,0.0,0.0,0.0,0.0,8.0
stats,minecraft:dropped,minecraft:egg,0.0,0.0,0.0,0.0,1.0,0.0,1.0
stats,minecraft:dropped,minecraft:emerald,105.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:dropped,minecraft:enchanted_book,2.0,0.0,0.0,0.0,5.0,0.0,0.0
stats,minecraft:dropped,minecraft:end_portal_frame,0.0,0.0,0.0,0.0,0.0,1.0,0.0
stats,minecraft:dropped,minecraft:filled_map,1.0,1.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:dropped,minecraft:flower_pot,0.0,1.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:dropped,minecraft:glass_bottle,1.0,5.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:dropped,minecraft:glowstone,0.0,0.0,0.0,0.0,1.0,0.0,0.0
stats,minecraft:dropped,minecraft:glowstone_dust,48.0,0.0,0.0,0.0,0.0,64.0,0.0
stats,minecraft:dropped,minecraft:goat_horn,0.0,1.0,0.0,0.0,0.0,0.0,0.0
